age_group,gender,height,weight,bmi,exercise_days,exercise_time,days_per_week,minutes_per_day,total_minutes_per_week,target_weight,weight_loss
40-49,female,157.4,40.6,16.4,1日/週,120〜180分,1,150,150,45.0,-4.4
70,female,168.0,43.0,15.2,4日/週,120〜180分,4,150,600,45.0,-2.0
50-59,male,170.7,68.6,23.6,5日/週,30分未満,5,15,75,66.3,2.3
20-29,male,173.4,78.6,26.1,運動なし,0分,0,0,0,78.2,0.4
50-59,female,165.6,45.0,16.4,5日/週,30分未満,5,15,75,45.0,-0.0
60-69,female,164.1,59.6,22.1,1日/週,30分未満,1,15,15,60.2,-0.6
20-29,female,160.6,73.7,28.6,6日/週,60〜120分,6,90,540,62.0,11.7
20-29,female,165.4,66.9,24.5,6日/週,30〜60分,6,45,270,61.3,5.6
70,male,172.2,77.9,26.3,4日/週,60〜120分,4,90,360,72.0,5.9
50-59,male,174.8,47.3,15.5,5日/週,30分未満,5,15,75,46.2,1.1
70,female,170.6,44.0,15.1,2日/週,120〜180分,2,150,300,45.0,-1.0
70,male,170.4,70.7,24.3,2日/週,60〜120分,2,90,180,67.0,3.7
30-39,female,160.9,71.0,27.4,運動なし,0分,0,0,0,71.0,-0.1
50-59,female,167.5,72.2,25.7,運動なし,0分,0,0,0,71.1,1.1
70,male,171.4,84.1,28.6,6日/週,60〜120分,6,90,540,74.1,10.0
30-39,female,172.4,48.5,16.3,6日/週,120〜180分,6,150,900,45.0,3.5
40-49,female,164.1,53.1,19.7,6日/週,30〜60分,6,45,270,47.8,5.3
70,male,173.1,81.7,27.3,4日/週,30分未満,4,15,60,80.7,0.9
30-39,female,158.7,64.8,25.8,3日/週,30〜60分,3,45,135,61.3,3.5
70,female,168.1,70.8,25.0,5日/週,30〜60分,5,45,225,66.6,4.2
40-49,male,178.2,85.3,26.9,5日/週,30〜60分,5,45,225,81.3,4.0
60-69,male,168.5,70.4,24.8,6日/週,60〜120分,6,90,540,60.7,9.6
30-39,male,177.0,65.6,20.9,4日/週,60〜120分,4,90,360,58.3,7.3
30-39,female,174.5,51.5,16.9,7日/週,30〜60分,7,45,315,46.0,5.5
50-59,female,162.3,69.2,26.2,6日/週,120〜180分,6,150,900,50.9,18.3
60-69,female,166.2,64.7,23.4,5日/週,60〜120分,5,90,450,56.7,8.0
20-29,female,155.9,55.7,22.9,3日/週,120〜180分,3,150,450,46.5,9.2
60-69,female,166.2,64.9,23.5,6日/週,180分以上,6,210,1260,45.0,19.9
70,male,177.0,59.5,19.0,1日/週,30分未満,1,15,15,59.2,0.3
70,female,168.8,59.8,21.0,3日/週,60〜120分,3,90,270,54.6,5.2
60-69,male,175.4,55.4,18.0,5日/週,30分未満,5,15,75,54.6,0.8
70,male,179.1,86.7,27.0,運動なし,0分,0,0,0,86.9,-0.2
20-29,female,164.1,58.1,21.6,6日/週,30分未満,6,15,90,56.4,1.7
70,female,169.5,60.4,21.0,1日/週,180分以上,1,210,210,56.3,4.1
50-59,male,168.8,85.0,29.9,1日/週,30〜60分,1,45,45,84.5,0.6
30-39,female,163.9,54.8,20.4,4日/週,30分未満,4,15,60,52.0,2.8
30-39,male,165.1,46.4,17.0,6日/週,120〜180分,6,150,900,45.0,1.4
30-39,male,176.3,56.8,18.3,4日/週,60〜120分,4,90,360,49.9,6.9
50-59,male,172.8,83.3,27.9,3日/週,180分以上,3,210,630,70.4,13.0
40-49,male,173.4,54.5,18.1,7日/週,30分未満,7,15,105,52.4,2.1
40-49,male,169.3,68.0,23.7,2日/週,120〜180分,2,150,300,61.3,6.7
70,male,179.6,58.9,18.3,7日/週,120〜180分,7,150,1050,45.0,13.9
50-59,male,174.8,56.1,18.4,6日/週,60〜120分,6,90,540,45.2,10.9
60-69,female,164.0,51.6,19.2,7日/週,180分以上,7,210,1470,45.0,6.6
20-29,male,178.3,69.3,21.8,1日/週,30分未満,1,15,15,68.0,1.3
30-39,male,171.2,64.8,22.1,1日/週,120〜180分,1,150,150,62.3,2.5
60-69,female,165.7,67.4,24.5,運動なし,0分,0,0,0,67.1,0.3
40-49,female,164.0,51.6,19.2,5日/週,180分以上,5,210,1050,45.0,6.6
50-59,male,178.4,81.5,25.6,4日/週,120〜180分,4,150,600,69.2,12.3
70,male,172.8,87.7,29.4,4日/週,180分以上,4,210,840,71.8,15.9
20-29,male,160.3,85.9,33.4,3日/週,120〜180分,3,150,450,76.3,9.5
70,male,165.6,68.1,24.8,運動なし,0分,0,0,0,69.2,-1.1
50-59,female,159.6,53.0,20.8,7日/週,30分未満,7,15,105,51.8,1.2
30-39,female,168.2,64.8,22.9,2日/週,120〜180分,2,150,300,58.2,6.7
50-59,female,173.6,56.1,18.6,1日/週,30分未満,1,15,15,55.0,1.1
50-59,male,172.6,83.5,28.0,7日/週,60〜120分,7,90,630,71.3,12.3
20-29,male,168.2,64.6,22.8,6日/週,180分以上,6,210,1260,45.0,19.6
60-69,female,162.0,67.1,25.6,5日/週,30〜60分,5,45,225,62.9,4.2
50-59,male,172.4,74.1,24.9,2日/週,30〜60分,2,45,90,72.3,1.8
40-49,female,167.6,54.5,19.4,6日/週,30分未満,6,15,90,52.5,1.9
40-49,female,167.3,46.9,16.8,運動なし,0分,0,0,0,45.9,1.0
50-59,female,173.6,73.3,24.3,7日/週,120〜180分,7,150,1050,52.4,21.0
20-29,male,178.6,59.5,18.7,1日/週,60〜120分,1,90,90,56.9,2.6
50-59,male,168.6,65.6,23.1,4日/週,30分未満,4,15,60,64.7,0.8
20-29,female,167.3,58.9,21.1,6日/週,180分以上,6,210,1260,45.0,13.9
60-69,female,162.5,61.9,23.4,3日/週,30分未満,3,15,45,60.8,1.1
30-39,male,171.5,71.7,24.4,3日/週,120〜180分,3,150,450,62.9,8.8
60-69,male,180.5,68.4,21.0,1日/週,180分以上,1,210,210,64.5,3.9
70,female,162.1,44.9,17.1,運動なし,0分,0,0,0,45.5,-0.6
30-39,female,156.8,50.5,20.6,運動なし,0分,0,0,0,50.2,0.3
50-59,female,160.1,60.9,23.8,4日/週,30分未満,4,15,60,59.9,1.0
30-39,male,174.3,58.7,19.3,6日/週,180分以上,6,210,1260,45.0,13.7
60-69,female,164.3,70.9,26.3,4日/週,30〜60分,4,45,180,68.1,2.9
20-29,female,168.3,58.2,20.6,2日/週,30分未満,2,15,30,57.6,0.6
50-59,male,169.2,62.2,21.7,7日/週,120〜180分,7,150,1050,45.0,17.2
60-69,male,173.1,53.5,17.8,1日/週,180分以上,1,210,210,49.8,3.7
40-49,male,169.6,72.9,25.3,4日/週,60〜120分,4,90,360,66.2,6.6
60-69,male,170.6,53.8,18.5,1日/週,30〜60分,1,45,45,52.9,0.9
70,male,169.9,51.8,17.9,4日/週,30〜60分,4,45,180,50.2,1.7
70,male,173.4,71.3,23.7,6日/週,180分以上,6,210,1260,47.8,23.5
20-29,female,170.8,54.2,18.6,2日/週,180分以上,2,210,420,45.3,8.9
40-49,female,172.5,49.4,16.6,3日/週,60〜120分,3,90,270,45.0,4.4
60-69,female,153.3,63.6,27.1,6日/週,120〜180分,6,150,900,45.7,17.9
70,female,160.5,72.8,28.3,運動なし,0分,0,0,0,72.4,0.4
30-39,female,172.3,44.4,15.0,6日/週,180分以上,6,210,1260,45.0,-0.6
70,female,158.5,62.1,24.7,4日/週,30〜60分,4,45,180,58.6,3.5
20-29,female,160.1,80.0,31.2,6日/週,180分以上,6,210,1260,55.5,24.5
20-29,male,171.6,62.8,21.3,6日/週,120〜180分,6,150,900,45.0,17.8
20-29,female,159.9,61.8,24.2,2日/週,120〜180分,2,150,300,54.9,6.9
20-29,female,166.7,64.8,23.3,運動なし,0分,0,0,0,63.5,1.3
30-39,male,168.3,59.9,21.2,2日/週,180分以上,2,210,420,51.6,8.3
50-59,female,166.2,47.2,17.1,3日/週,60〜120分,3,90,270,45.0,2.2
40-49,female,164.7,63.0,23.2,2日/週,30〜60分,2,45,90,60.8,2.2
20-29,male,173.4,70.5,23.4,運動なし,0分,0,0,0,71.1,-0.6
40-49,female,164.3,73.0,27.1,1日/週,30〜60分,1,45,45,72.6,0.4
50-59,female,164.0,45.8,17.0,運動なし,0分,0,0,0,46.1,-0.3
60-69,male,170.7,68.6,23.5,6日/週,30〜60分,6,45,270,64.4,4.2
60-69,male,165.2,67.1,24.6,7日/週,120〜180分,7,150,1050,46.4,20.7
30-39,female,162.1,71.0,27.0,3日/週,30分未満,3,15,45,69.5,1.5
20-29,male,168.1,60.8,21.5,2日/週,30〜60分,2,45,90,59.1,1.7
40-49,male,170.7,73.0,25.0,5日/週,60〜120分,5,90,450,64.5,8.5
70,female,172.4,86.7,29.2,5日/週,120〜180分,5,150,750,71.8,15.0
30-39,male,168.0,65.1,23.1,2日/週,180分以上,2,210,420,55.7,9.4
20-29,female,165.5,44.1,16.1,3日/週,180分以上,3,210,630,45.0,-0.9
20-29,male,174.8,73.8,24.2,1日/週,120〜180分,1,150,150,71.2,2.6
70,male,176.2,58.8,18.9,1日/週,60〜120分,1,90,90,57.4,1.4
70,male,166.8,58.2,20.9,1日/週,30〜60分,1,45,45,58.0,0.2
60-69,female,172.6,62.0,20.8,6日/週,60〜120分,6,90,540,52.1,9.8
20-29,female,162.2,67.5,25.7,4日/週,30〜60分,4,45,180,64.2,3.3
70,male,164.0,47.7,17.7,2日/週,30分未満,2,15,30,47.4,0.2
70,male,178.9,75.7,23.6,5日/週,180分以上,5,210,1050,54.9,20.7
30-39,male,170.2,67.7,23.4,5日/週,120〜180分,5,150,750,53.2,14.5
30-39,male,172.2,51.4,17.3,運動なし,0分,0,0,0,50.6,0.8
50-59,male,155.0,71.8,29.9,運動なし,0分,0,0,0,70.6,1.2
60-69,female,169.8,54.1,18.8,5日/週,60〜120分,5,90,450,45.2,8.9
50-59,male,171.7,70.8,24.0,6日/週,120〜180分,6,150,900,53.4,17.4
60-69,male,178.4,66.0,20.7,3日/週,30〜60分,3,45,135,62.5,3.5
40-49,female,159.5,59.3,23.3,4日/週,30〜60分,4,45,180,55.8,3.4
20-29,male,163.8,68.6,25.6,3日/週,180分以上,3,210,630,56.1,12.6
30-39,male,175.8,63.7,20.6,運動なし,0分,0,0,0,64.0,-0.2
60-69,male,172.6,80.5,27.0,5日/週,180分以上,5,210,1050,60.2,20.3
70,female,170.2,65.9,22.8,4日/週,120〜180分,4,150,600,54.4,11.6
20-29,male,175.4,85.7,27.9,7日/週,120〜180分,7,150,1050,64.6,21.0
50-59,male,167.1,77.4,27.7,3日/週,180分以上,3,210,630,65.4,12.1
50-59,male,176.0,59.8,19.3,6日/週,120〜180分,6,150,900,45.0,14.8
70,male,179.6,65.9,20.4,7日/週,60〜120分,7,90,630,54.0,11.9
40-49,female,164.4,62.0,23.0,6日/週,180分以上,6,210,1260,45.0,17.0
60-69,female,172.3,66.6,22.4,7日/週,180分以上,7,210,1470,45.0,21.6
50-59,male,169.6,55.0,19.1,3日/週,30分未満,3,15,45,54.3,0.8
30-39,female,160.8,69.9,27.0,2日/週,30分未満,2,15,30,68.8,1.1
40-49,male,170.9,62.0,21.2,3日/週,60〜120分,3,90,270,56.9,5.1
20-29,female,164.9,74.7,27.5,3日/週,30〜60分,3,45,135,71.6,3.1
30-39,male,178.0,78.3,24.7,7日/週,30〜60分,7,45,315,72.3,6.0
60-69,male,171.8,71.5,24.2,5日/週,30分未満,5,15,75,70.5,1.0
50-59,male,166.7,71.5,25.7,7日/週,30〜60分,7,45,315,65.3,6.2
60-69,female,164.2,58.9,21.8,7日/週,30〜60分,7,45,315,53.0,5.8
30-39,male,174.6,49.5,16.2,1日/週,180分以上,1,210,210,45.5,3.9
40-49,female,164.5,49.8,18.4,3日/週,180分以上,3,210,630,45.0,4.8
40-49,female,159.5,65.1,25.6,5日/週,120〜180分,5,150,750,50.2,14.9
50-59,male,184.9,63.6,18.6,7日/週,30分未満,7,15,105,62.0,1.6
40-49,male,169.2,86.0,30.0,2日/週,60〜120分,2,90,180,82.4,3.6
30-39,female,166.0,43.5,15.8,3日/週,60〜120分,3,90,270,45.0,-1.5
60-69,female,163.5,44.3,16.6,5日/週,180分以上,5,210,1050,45.0,-0.7
60-69,male,167.1,53.6,19.2,6日/週,30分未満,6,15,90,52.4,1.2
70,female,163.4,60.6,22.7,1日/週,30分未満,1,15,15,60.4,0.2
20-29,male,177.9,71.6,22.6,6日/週,120〜180分,6,150,900,53.5,18.1
40-49,female,162.4,59.9,22.7,1日/週,180分以上,1,210,210,55.6,4.3
50-59,female,154.2,78.8,33.1,6日/週,30分未満,6,15,90,77.8,1.0
50-59,male,167.8,75.0,26.6,6日/週,60〜120分,6,90,540,64.5,10.4
20-29,male,179.1,56.3,17.6,5日/週,120〜180分,5,150,750,45.0,11.3
50-59,male,165.0,70.4,25.9,1日/週,30〜60分,1,45,45,69.5,0.9
30-39,female,168.9,62.3,21.8,2日/週,30〜60分,2,45,90,59.9,2.3
40-49,male,172.3,68.0,22.9,6日/週,120〜180分,6,150,900,50.0,18.0
70,female,159.7,60.3,23.6,2日/週,60〜120分,2,90,180,56.6,3.7
20-29,female,159.2,65.6,25.9,3日/週,30〜60分,3,45,135,61.6,4.1
40-49,female,169.3,48.3,16.9,6日/週,120〜180分,6,150,900,45.0,3.3
60-69,female,170.8,59.4,20.4,6日/週,180分以上,6,210,1260,45.0,14.4
30-39,male,174.5,61.3,20.1,6日/週,30〜60分,6,45,270,55.8,5.5
60-69,male,173.6,85.7,28.5,4日/週,60〜120分,4,90,360,79.7,6.0
20-29,female,167.5,44.5,15.9,運動なし,0分,0,0,0,45.0,-0.5
70,female,165.0,83.0,30.5,1日/週,30〜60分,1,45,45,81.9,1.1
60-69,female,170.9,64.4,22.1,6日/週,30分未満,6,15,90,62.6,1.9
40-49,male,167.9,80.1,28.4,6日/週,30〜60分,6,45,270,75.1,5.0
50-59,male,180.7,64.3,19.7,3日/週,30分未満,3,15,45,63.3,1.0
70,male,171.3,57.9,19.7,1日/週,60〜120分,1,90,90,57.0,0.8
30-39,male,179.7,82.5,25.5,4日/週,180分以上,4,210,840,65.7,16.9
70,male,181.6,84.2,25.5,4日/週,120〜180分,4,150,600,72.7,11.5
30-39,male,166.7,78.2,28.2,1日/週,60〜120分,1,90,90,75.6,2.6
40-49,male,174.4,64.6,21.2,運動なし,0分,0,0,0,64.9,-0.4
30-39,female,167.1,59.1,21.2,1日/週,30分未満,1,15,15,58.4,0.7
30-39,male,172.5,50.0,16.8,運動なし,0分,0,0,0,49.6,0.4
30-39,male,166.3,71.7,25.9,1日/週,60〜120分,1,90,90,70.0,1.7
20-29,male,177.0,95.9,30.6,3日/週,180分以上,3,210,630,82.8,13.1
40-49,male,174.4,50.2,16.5,運動なし,0分,0,0,0,50.0,0.2
60-69,male,165.6,70.5,25.7,運動なし,0分,0,0,0,71.5,-0.9
20-29,male,180.7,57.3,17.6,2日/週,180分以上,2,210,420,49.5,7.8
50-59,female,163.4,51.3,19.2,運動なし,0分,0,0,0,51.4,-0.1
40-49,male,171.9,72.6,24.6,5日/週,120〜180分,5,150,750,57.6,15.0
20-29,male,171.7,70.1,23.8,7日/週,30分未満,7,15,105,68.9,1.2
20-29,female,168.2,59.6,21.1,6日/週,30〜60分,6,45,270,54.4,5.3
40-49,female,161.2,59.4,22.8,5日/週,120〜180分,5,150,750,45.0,14.4
50-59,male,174.7,58.6,19.2,6日/週,30〜60分,6,45,270,53.6,5.0
20-29,male,174.7,62.3,20.4,7日/週,120〜180分,7,150,1050,45.0,17.3
60-69,female,154.2,58.4,24.6,2日/週,180分以上,2,210,420,49.3,9.1
60-69,female,162.2,60.5,23.0,6日/週,60〜120分,6,90,540,49.6,10.9
40-49,female,157.5,63.9,25.8,7日/週,30〜60分,7,45,315,57.1,6.9
40-49,female,165.2,64.4,23.6,5日/週,30分未満,5,15,75,62.3,2.1
20-29,female,167.3,55.6,19.8,7日/週,30〜60分,7,45,315,48.6,6.9
20-29,male,167.9,71.9,25.5,2日/週,60〜120分,2,90,180,68.1,3.8
50-59,male,179.1,57.8,18.0,3日/週,30分未満,3,15,45,57.3,0.5
50-59,female,159.5,53.0,20.8,4日/週,30〜60分,4,45,180,49.7,3.3
70,male,183.5,83.4,24.8,6日/週,30〜60分,6,45,270,78.8,4.6
60-69,female,166.0,38.6,14.0,7日/週,120〜180分,7,150,1050,45.0,-6.4
40-49,male,173.1,74.6,24.9,運動なし,0分,0,0,0,74.1,0.4
60-69,female,155.9,82.7,34.0,2日/週,30〜60分,2,45,90,81.0,1.6
40-49,female,163.8,52.6,19.6,7日/週,120〜180分,7,150,1050,45.0,7.6
40-49,female,165.8,71.3,25.9,3日/週,30〜60分,3,45,135,67.9,3.3
50-59,male,170.8,84.8,29.1,5日/週,120〜180分,5,150,750,69.8,15.0
50-59,female,163.4,62.0,23.2,1日/週,30分未満,1,15,15,61.6,0.4
30-39,female,156.5,46.3,18.9,7日/週,180分以上,7,210,1470,45.0,1.3
50-59,male,169.1,74.7,26.1,3日/週,120〜180分,3,150,450,64.7,10.0
20-29,male,170.4,58.5,20.1,4日/週,120〜180分,4,150,600,46.3,12.1
20-29,male,169.0,61.7,21.6,7日/週,60〜120分,7,90,630,49.9,11.8
50-59,female,161.4,71.1,27.3,運動なし,0分,0,0,0,70.4,0.7
60-69,female,158.0,62.4,25.0,運動なし,0分,0,0,0,62.9,-0.5
40-49,male,168.4,97.4,34.4,6日/週,30〜60分,6,45,270,92.4,5.1
40-49,female,173.4,66.3,22.0,3日/週,120〜180分,3,150,450,56.3,10.0
40-49,female,161.6,78.3,30.0,4日/週,30分未満,4,15,60,77.7,0.7
30-39,male,177.3,66.8,21.3,1日/週,60〜120分,1,90,90,65.2,1.7
30-39,female,165.4,65.5,23.9,5日/週,30分未満,5,15,75,63.8,1.8
70,female,161.6,51.3,19.7,1日/週,60〜120分,1,90,90,49.9,1.4
20-29,female,163.1,62.2,23.4,4日/週,30〜60分,4,45,180,58.6,3.7
70,male,178.2,65.6,20.7,6日/週,120〜180分,6,150,900,48.4,17.1
40-49,female,170.5,63.5,21.8,5日/週,180分以上,5,210,1050,45.0,18.5
30-39,female,168.7,62.1,21.8,6日/週,60〜120分,6,90,540,51.1,11.0
60-69,male,174.5,74.8,24.6,6日/週,60〜120分,6,90,540,65.0,9.8
40-49,male,160.8,56.0,21.7,7日/週,60〜120分,7,90,630,45.0,11.0
50-59,female,170.0,46.7,16.2,5日/週,60〜120分,5,90,450,45.0,1.7
70,male,166.6,45.6,16.4,6日/週,60〜120分,6,90,540,45.0,0.6
50-59,female,162.3,61.6,23.4,7日/週,60〜120分,7,90,630,49.5,12.0
60-69,female,164.9,51.6,19.0,4日/週,180分以上,4,210,840,45.0,6.6
60-69,male,169.3,71.9,25.1,6日/週,120〜180分,6,150,900,55.3,16.6
70,female,168.1,64.5,22.8,4日/週,60〜120分,4,90,360,58.7,5.8
30-39,female,159.5,69.3,27.2,運動なし,0分,0,0,0,69.3,0.0
60-69,female,169.7,70.4,24.4,運動なし,0分,0,0,0,69.6,0.7
70,male,179.0,58.7,18.3,4日/週,60〜120分,4,90,360,52.8,5.9
40-49,female,161.8,46.5,17.8,2日/週,30〜60分,2,45,90,45.0,1.5
70,female,170.0,63.8,22.1,1日/週,180分以上,1,210,210,58.5,5.4
60-69,female,170.5,51.0,17.5,1日/週,30分未満,1,15,15,50.7,0.3
60-69,female,167.5,65.9,23.5,5日/週,30〜60分,5,45,225,61.7,4.2
40-49,male,160.6,50.6,19.6,3日/週,60〜120分,3,90,270,45.5,5.1
70,female,168.8,58.0,20.3,6日/週,120〜180分,6,150,900,45.0,13.0
70,male,177.0,90.0,28.7,5日/週,30〜60分,5,45,225,87.5,2.6
20-29,male,166.6,58.6,21.1,5日/週,30〜60分,5,45,225,53.7,4.9
20-29,female,171.0,39.3,13.4,1日/週,30分未満,1,15,15,45.0,-5.7
50-59,male,176.9,80.6,25.8,5日/週,30〜60分,5,45,225,76.0,4.6
60-69,male,170.4,79.8,27.5,運動なし,0分,0,0,0,80.0,-0.2
50-59,male,168.5,65.2,23.0,4日/週,60〜120分,4,90,360,58.8,6.3
30-39,female,162.4,64.1,24.3,2日/週,60〜120分,2,90,180,59.7,4.4
40-49,female,167.9,59.1,21.0,1日/週,180分以上,1,210,210,54.3,4.8
40-49,female,167.7,64.0,22.8,運動なし,0分,0,0,0,62.7,1.3
60-69,male,181.2,70.2,21.4,3日/週,180分以上,3,210,630,58.3,11.9
20-29,female,166.9,51.9,18.6,運動なし,0分,0,0,0,51.1,0.8
60-69,male,176.5,77.8,25.0,6日/週,120〜180分,6,150,900,59.6,18.2
50-59,female,164.4,62.8,23.2,1日/週,60〜120分,1,90,90,61.2,1.6
40-49,female,167.2,67.6,24.2,2日/週,30〜60分,2,45,90,65.2,2.4
40-49,female,162.6,53.8,20.4,運動なし,0分,0,0,0,54.1,-0.2
50-59,female,165.0,35.0,12.8,5日/週,120〜180分,5,150,750,45.0,-10.0
30-39,female,164.1,79.4,29.5,2日/週,180分以上,2,210,420,70.8,8.6
20-29,male,174.3,64.4,21.2,2日/週,120〜180分,2,150,300,58.3,6.1
70,female,170.2,62.1,21.5,2日/週,30〜60分,2,45,90,60.7,1.4
60-69,male,170.6,63.8,21.9,2日/週,30分未満,2,15,30,62.8,1.0
20-29,male,175.8,73.6,23.8,3日/週,120〜180分,3,150,450,64.0,9.6
30-39,male,169.4,65.1,22.7,1日/週,180分以上,1,210,210,61.4,3.7
60-69,female,162.0,50.5,19.2,4日/週,30分未満,4,15,60,49.2,1.3
40-49,female,167.6,45.4,16.2,運動なし,0分,0,0,0,45.0,0.4
50-59,female,166.2,65.4,23.7,1日/週,60〜120分,1,90,90,64.3,1.2
30-39,female,157.7,69.4,27.9,3日/週,180分以上,3,210,630,56.1,13.3
60-69,male,169.6,70.4,24.5,6日/週,30〜60分,6,45,270,65.4,5.0
70,male,163.1,66.7,25.1,7日/週,60〜120分,7,90,630,54.7,12.0
30-39,female,165.4,52.1,19.0,運動なし,0分,0,0,0,51.5,0.6
60-69,female,160.4,42.9,16.7,運動なし,0分,0,0,0,45.0,-2.1
40-49,female,162.7,59.6,22.5,5日/週,60〜120分,5,90,450,50.9,8.6
70,male,167.7,72.6,25.8,7日/週,30分未満,7,15,105,71.1,1.4
50-59,male,173.2,87.4,29.1,7日/週,60〜120分,7,90,630,75.1,12.3
70,male,171.6,78.0,26.5,2日/週,60〜120分,2,90,180,74.6,3.4
20-29,male,172.7,69.4,23.3,6日/週,60〜120分,6,90,540,59.4,10.1
50-59,female,167.7,54.0,19.2,6日/週,180分以上,6,210,1260,45.0,9.0
30-39,male,166.1,49.5,17.9,6日/週,60〜120分,6,90,540,45.0,4.5
20-29,female,172.1,40.6,13.7,5日/週,120〜180分,5,150,750,45.0,-4.4
60-69,female,159.1,59.6,23.6,1日/週,180分以上,1,210,210,55.0,4.5
60-69,female,172.5,66.2,22.3,3日/週,120〜180分,3,150,450,56.7,9.6
40-49,male,167.2,60.3,21.6,5日/週,30〜60分,5,45,225,56.2,4.2
20-29,female,160.4,67.5,26.2,4日/週,60〜120分,4,90,360,59.0,8.5
30-39,male,176.4,69.3,22.3,6日/週,120〜180分,6,150,900,52.2,17.1
60-69,female,161.2,49.1,18.9,運動なし,0分,0,0,0,49.3,-0.2
70,female,158.3,75.4,30.1,1日/週,120〜180分,1,150,150,72.5,2.9
60-69,female,160.0,65.3,25.5,2日/週,30〜60分,2,45,90,63.1,2.2
70,female,166.8,56.4,20.3,4日/週,30分未満,4,15,60,56.2,0.3
60-69,male,180.7,75.7,23.2,運動なし,0分,0,0,0,76.5,-0.8
50-59,male,178.2,73.1,23.0,7日/週,30分未満,7,15,105,71.9,1.2
70,female,159.4,61.9,24.3,5日/週,30分未満,5,15,75,60.9,1.0
20-29,male,167.3,69.3,24.7,1日/週,60〜120分,1,90,90,68.1,1.2
60-69,female,168.1,55.7,19.7,6日/週,60〜120分,6,90,540,45.5,10.2
60-69,male,174.5,81.2,26.7,2日/週,120〜180分,2,150,300,75.5,5.7
30-39,female,165.6,70.9,25.9,2日/週,30分未満,2,15,30,69.4,1.5
60-69,female,164.6,76.0,28.0,5日/週,30分未満,5,15,75,74.4,1.6
30-39,female,153.8,58.0,24.6,7日/週,120〜180分,7,150,1050,45.0,13.0
70,female,162.3,52.5,19.9,5日/週,30〜60分,5,45,225,47.9,4.6
30-39,female,165.0,52.9,19.4,6日/週,30〜60分,6,45,270,47.1,5.9
70,male,164.4,35.5,13.1,7日/週,120〜180分,7,150,1050,45.0,-9.5
60-69,female,161.6,70.4,27.0,6日/週,30分未満,6,15,90,68.9,1.6
40-49,male,172.6,96.5,32.4,運動なし,0分,0,0,0,95.9,0.5
30-39,female,160.3,57.6,22.4,1日/週,120〜180分,1,150,150,54.3,3.3
70,female,160.2,61.1,23.8,1日/週,60〜120分,1,90,90,59.2,1.9
50-59,male,175.5,72.9,23.7,3日/週,60〜120分,3,90,270,67.7,5.2
30-39,female,173.1,78.9,26.3,7日/週,180分以上,7,210,1470,49.8,29.1
70,male,182.7,64.5,19.3,3日/週,180分以上,3,210,630,52.7,11.8
70,female,168.2,67.0,23.7,6日/週,30分未満,6,15,90,66.1,0.8
70,female,164.6,61.3,22.6,4日/週,60〜120分,4,90,360,54.2,7.1
30-39,female,170.7,42.2,14.5,5日/週,60〜120分,5,90,450,45.0,-2.8
30-39,male,171.5,69.9,23.8,5日/週,60〜120分,5,90,450,61.3,8.7
